EARN,EMP#,DATE,HRS,RATE,AMOUNT,,,,,,,,,,,,
REG,1254,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1254,11/19/2012,6.20,30.48,193.04,,,,,,,,,,,,
REG,1254,11/19/2012,1.40,30.8,51.33,,,,,,,,,,,,
REG,1254,11/20/2012,6.20,30.48,193.04,,,,,,,,,,,,
REG,1254,11/20/2012,1.40,30.8,51.33,,,,,,,,,,,,
REG,1254,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1264,11/19/2012,5.16,30.48,160.53,,,,,,,,,,,,
REG,1264,11/19/2012,2.44,30.8,84.19,,,,,,,,,,,,
REG,1264,11/20/2012,5.16,30.48,160.53,,,,,,,,,,,,
REG,1264,11/20/2012,2.44,30.8,84.19,,,,,,,,,,,,
REG,1264,11/21/2012,5.16,30.48,160.53,,,,,,,,,,,,
REG,1264,11/21/2012,2.44,30.8,84.19,,,,,,,,,,,,
REG,1264,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1264,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1414,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1414,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1414,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1414,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1695,11/19/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,1695,11/19/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,1695,11/20/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,1695,11/20/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,1695,11/21/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,1695,11/21/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,1695,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1713,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,1713,11/19/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,1713,11/19/2012,4.43,30.8,145.27,,,,,,,,,,,,
REG,1713,11/20/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,1713,11/20/2012,4.43,30.8,145.27,,,,,,,,,,,,
REG,1713,11/21/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,1713,11/21/2012,4.43,30.8,145.27,,,,,,,,,,,,
REG,1725,11/19/2012,5.25,30.48,165.1,,,,,,,,,,,,
REG,1725,11/19/2012,2.35,30.8,79.57,,,,,,,,,,,,
REG,1725,11/20/2012,5.25,30.48,165.1,,,,,,,,,,,,
REG,1725,11/20/2012,2.35,30.8,79.57,,,,,,,,,,,,
REG,1725,11/21/2012,5.25,30.48,165.1,,,,,,,,,,,,
REG,1725,11/21/2012,2.35,30.8,79.57,,,,,,,,,,,,
REG,1725,11/23/2012,6.01,30.48,183.39,,,,,,,,,,,,
REG,1725,11/23/2012,1.59,30.8,61.09,,,,,,,,,,,,
REG,1800,11/19/2012,2.39,30.48,80.77,,,,,,,,,,,,
REG,1800,11/19/2012,5.21,30.8,164.78,,,,,,,,,,,,
REG,1800,11/20/2012,2.39,30.48,80.77,,,,,,,,,,,,
REG,1800,11/20/2012,5.21,30.8,164.78,,,,,,,,,,,,
REG,1800,11/21/2012,2.39,30.48,80.77,,,,,,,,,,,,
REG,1800,11/21/2012,5.21,30.8,164.78,,,,,,,,,,,,
REG,1800,11/23/2012,4.42,30.48,143.26,,,,,,,,,,,,
REG,1800,11/23/2012,3.18,30.8,101.64,,,,,,,,,,,,
REG,2087,11/17/2012,5.38,30.48,171.7,,,,,,,,,,,,
REG,2087,11/17/2012,2.22,30.8,72.89,,,,,,,,,,,,
REG,2087,11/19/2012,3.13,30.48,98.04,,,,,,,,,,,,
REG,2087,11/19/2012,4.47,30.8,147.33,,,,,,,,,,,,
REG,2087,11/20/2012,3.13,30.48,98.04,,,,,,,,,,,,
REG,2087,11/20/2012,4.47,30.8,147.33,,,,,,,,,,,,
REG,2087,11/21/2012,3.13,30.48,98.04,,,,,,,,,,,,
REG,2087,11/21/2012,4.47,30.8,147.33,,,,,,,,,,,,
REG,2088,11/19/2012,6.13,30.48,189.48,,,,,,,,,,,,
REG,2088,11/19/2012,1.47,30.8,54.93,,,,,,,,,,,,
REG,2088,11/20/2012,6.13,30.48,189.48,,,,,,,,,,,,
REG,2088,11/20/2012,1.47,30.8,54.93,,,,,,,,,,,,
REG,2088,11/21/2012,6.13,30.48,189.48,,,,,,,,,,,,
REG,2088,11/21/2012,1.47,30.8,54.93,,,,,,,,,,,,
REG,2088,11/22/2012,4.11,30.48,127.51,,,,,,,,,,,,
REG,2088,11/22/2012,3.49,30.8,117.55,,,,,,,,,,,,
REG,2088,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2170,11/17/2012,4.24,30.48,134.11,,,,,,,,,,,,
REG,2170,11/17/2012,3.36,30.8,110.88,,,,,,,,,,,,
REG,2170,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2170,11/19/2012,6.18,30.48,192.02,,,,,,,,,,,,
REG,2170,11/19/2012,1.42,30.8,52.36,,,,,,,,,,,,
