ACTION_LIST_ID,TIME_NEW,USER_NEW,VALUE,PREVIOUS_ACTION_LIST_ID,PREVIOUS_TIME_NEW,PREVIOUS_USER_NEW,PREIOUS_VALUE,TIMEDIFF_BETWEEN_TRANSACTIONS
419227,10/13/2009 20:13,OrderExecuter,500,418341,10/9/2009 17:36,OrderExecuter,2000,4.109363426
684834,11/16/2010 14:00,OrderExecuter,2000,684125,11/12/2010 20:07,OrderExecuter,1000,3.745405093
433954,11/3/2009 10:47,OrderExecuter,0,431792,10/30/2009 16:54,OrderExecuter,500,3.744965278
485421,2/4/2010 9:01,OrderExecuter,0,482480,1/31/2010 22:10,OrderExecuter,2500,3.451990741
454606,12/17/2009 13:41,OrderExecuter,0,452703,12/14/2009 9:58,OrderExecuter,1000,3.154606481
418340,10/9/2009 17:36,OrderExecuter,0,415648,10/6/2009 14:46,OrderExecuter,1000,3.117719907
436320,11/9/2009 9:21,OrderExecuter,0,435827,11/6/2009 7:46,OrderExecuter,500,3.065752315
408135,9/28/2009 11:08,OrderExecuter,500,407627,9/25/2009 10:01,OrderExecuter,500,3.046342593
421402,10/19/2009 9:07,OrderExecuter,0,420859,10/16/2009 10:50,OrderExecuter,2500,2.928622685
486740,2/8/2010 9:41,OrderExecuter,0,486467,2/5/2010 13:01,OrderExecuter,1000,2.861122685
390975,8/31/2009 9:06,OrderExecuter,1000,390868,8/28/2009 13:33,OrderExecuter,1000,2.814328704
459006,12/27/2009 5:02,OrderExecuter,0,458182,12/24/2009 13:45,OrderExecuter,2500,2.63693287
476967,1/25/2010 8:41,OrderExecuter,0,476884,1/22/2010 21:34,OrderExecuter,500,2.463009259
439000,11/15/2009 10:14,OrderExecuter,0,438344,11/13/2009 0:44,OrderExecuter,500,2.39587963
427229,10/25/2009 16:00,OrderExecuter,0,425946,10/23/2009 7:39,OrderExecuter,500,2.348136574
516147,3/28/2010 23:16,OrderExecuter,2000,515985,3/26/2010 16:57,OrderExecuter,2500,2.2634375
511547,3/20/2010 15:36,OrderExecuter,0,510550,3/18/2010 10:44,OrderExecuter,2000,2.202511574
460004,12/29/2009 9:58,OrderExecuter,0,459008,12/27/2009 5:48,OrderExecuter,0,2.173356481
455496,12/21/2009 9:39,OrderExecuter,0,455429,12/19/2009 6:46,OrderExecuter,1000,2.120439815
563504,6/5/2010 10:47,OrderExecuter,0,562484,6/3/2010 8:35,OrderExecuter,500,2.092152778
431348,10/30/2009 10:19,OrderExecuter,0,429759,10/28/2009 9:07,OrderExecuter,1000,2.049953704
376676,8/17/2009 11:26,OrderExecuter,0,376213,8/15/2009 10:52,OrderExecuter,2000,2.02380787
577255,6/26/2010 13:38,OrderExecuter,0,574185,6/24/2010 14:28,OrderExecuter,500,1.965752315
494585,2/22/2010 7:45,OrderExecuter,0,494242,2/20/2010 8:54,OrderExecuter,1000,1.952395833
472423,1/16/2010 7:20,OrderExecuter,0,470712,1/14/2010 9:32,OrderExecuter,2000,1.908171296
524226,4/10/2010 8:06,OrderExecuter,2000,523135,4/8/2010 10:52,OrderExecuter,2000,1.884872685
381689,8/21/2009 12:17,OrderExecuter,0,379392,8/19/2009 15:19,OrderExecuter,1000,1.872951389
396399,9/6/2009 16:36,OrderExecuter,0,395989,9/4/2009 19:39,OrderExecuter,1000,1.872638889
452703,12/14/2009 9:58,OrderExecuter,1000,452386,12/12/2009 13:31,OrderExecuter,500,1.852546296
444950,11/27/2009 10:03,OrderExecuter,0,444758,11/25/2009 13:56,OrderExecuter,5000,1.838217593
383584,8/24/2009 14:02,OrderExecuter,0,382186,8/22/2009 17:56,OrderExecuter,1000,1.837094907
585864,7/10/2010 10:01,OrderExecuter,0,584750,7/8/2010 14:46,OrderExecuter,2000,1.802083333
632984,9/5/2010 7:18,OrderExecuter,0,632409,9/3/2010 12:54,OrderExecuter,5000,1.767233796
406402,9/22/2009 14:44,OrderExecuter,0,405138,9/20/2009 21:00,OrderExecuter,1000,1.73880787
470705,1/14/2010 9:32,OrderExecuter,0,469771,1/12/2010 16:25,OrderExecuter,1000,1.713101852
507727,3/14/2010 16:29,OrderExecuter,0,507536,3/13/2010 1:06,OrderExecuter,1000,1.640428241
451249,12/10/2009 7:55,OrderExecuter,0,450749,12/8/2009 16:43,OrderExecuter,2000,1.632777778
372181,8/10/2009 11:36,OrderExecuter,0,371793,8/8/2009 20:26,OrderExecuter,1000,1.631805556
