DEVICECLASSID,DEVICEID,UNIQUEMSID,SALESTRANSACTIONNO,COUNT(1), 
201,201234,2177,365271,4, 
201,201319,2103,245811,4, 
202,202140,1697,77269,4, 
202,202157,1539,177330,4, 
411,411111,1514,2308710,4, 
411,411111,1514,2308711,4, 
411,411111,1514,2308712,4, 
411,411123,1476,1869313,4, 
411,411315,1557,1486575,4, 
411,411319,1544,854083,4, 
411,411319,1544,854084,4, 
411,411329,1396,1437670,4, 
411,411380,1320,244562,4, 
501,6752,11595,134116,4, 
901,901010,660,12895,4, 
411,411198,1529,306366,3, 
901,901002,802,11692,3, 
201,201200,2386,161138,2, 
201,201016,2383,301705,2, 
201,201016,2423,305691,2, 
201,201020,2875,74518,2, 
201,201021,2754,49526,2, 
201,201022,2808,22839,2, 
201,201024,2970,634983,2, 
201,201025,2314,344679,2, 
201,201026,2410,298468,2, 
201,201028,2457,462530,2, 
201,201028,2501,472171,2, 
201,201030,2442,64421,2, 
201,201033,2353,347921,2, 
201,201034,2264,117501,2, 
201,201036,2436,390556,2, 
201,201039,2368,392518,2, 
201,201039,2387,396319,2, 
201,201042,1938,102046,2, 
201,201044,2290,294883,2, 
201,201050,2174,272991,2, 
201,201053,2184,324710,2, 
201,201053,2196,326111,2, 
201,201054,2154,311778,2, 
201,201054,2154,311779,2, 
201,201054,2154,311780,2, 
201,201054,2163,312773,2, 
201,201061,2118,61791,2, 
201,201082,2257,445560,2, 
201,201084,2313,89074,2, 
201,201085,2258,379922,2, 
201,201085,2303,388187,2, 
201,201086,2275,383659,2, 
201,201087,2150,95726,2, 
201,201087,2159,97300,2, 
201,201088,2091,21481,2, 
201,201088,2095,21981,2, 
201,201092,2238,351653,2, 
201,201095,1965,107587,2, 
201,201096,1921,70571,2, 
201,201097,2100,308538,2, 
201,201103,2418,429171,2, 
201,201103,2418,429172,2, 
201,201106,2437,546358,2, 
201,201107,2446,494960,2, 
201,201110,2224,384373,2, 
201,201111,2050,148850,2, 
201,201113,2038,256712,2, 
201,201113,2040,257018,2, 
201,201116,2157,299641,2, 
201,201118,2090,27839,2, 
201,201121,2268,433549,2, 
201,201122,2220,412775,2, 
201,201124,2268,420014,2, 
201,201129,2391,575733,2, 
201,201129,2395,576919,2, 
201,201129,2409,580511,2, 
201,201131,2317,290711,2, 
201,201134,2071,250316,2, 
201,201143,2069,188033,2, 
201,201146,2222,49875,2, 
201,201147,2277,357080,2, 
201,201147,2290,359090,2, 
201,201152,2082,11052,2, 
201,201156,2912,921203,2, 
201,201156,2930,926749,2, 
201,201156,2946,930996,2, 
201,201157,2891,899517,2, 
201,201164,2129,351680,2, 
