EARN_GOOD,EMPNO_GOOD,DIFFERENCE
REG,67478,44.25
REG,67541,57.44
REG,67542,55.95
REG,67543,65.57
REG,67621,48.06
REG,67631,15.76
REG,67647,25.58
REG,67663,75
REG,67667,70.81
REG,67691,84.6
REG,67692,78.18
REG,67728,58.48
REG,67729,46.08
REG,68161,62.68
REG,68201,51.73
REG,68202,71.85
REG,68278,121.96
REG,68300,78.15
REG,68302,115.78
REG,68303,118.49
REG,68304,79.62
REG,68313,99.1
REG,68314,42.52
REG,68315,120.28
REG,68320,92.32
REG,68508,135.9
REG,68512,107.05
REG,68513,39.35
REG,68515,41.28
REG,68539,95.33
REG,68570,78.23
REG,68571,81.93
REG,68573,42.43
REG,68574,117.66
REG,68575,75.86
REG,68576,82.8
REG,68581,56.08
REG,68587,111.65
REG,68589,103.34
REG,68615,106.27
REG,68618,54.36
REG,68619,79.59
REG,68620,24.41
REG,68621,117.5
REG,68622,80
REG,68624,78.06
REG,68693,50.52
REG,68704,46.98
REG,68705,104.72
REG,68733,216.61
REG,68779,134.88
REG,68937,156.19
REG,68944,160.69
REG,68946,187.74
REG,69021,103.43
REG,69022,13.09
REG,69034,85.2
REG,69036,50.56
REG,69080,78.89
REG,69082,134.86
REG,69120,107.54
REG,69122,129.86
REG,69123,26.95
REG,69124,131.66
REG,69131,146.56
REG,69163,126.26
REG,69167,144.36
REG,69168,73.66
REG,69275,145.8
REG,69276,179.79
REG,69278,100.86
REG,69283,13.21
REG,69288,70.57
REG,69292,111.12
REG,69294,23.1
REG,69295,183.38
REG,69296,125.5
REG,69584,341.01
REG,69587,180.2
REG,69589,237.52
REG,69592,244.7
REG,69593,141.05
REG,69595,66.29
REG,69596,387.54
REG,69597,157.03
REG,69658,151.46
REG,69660,220.64
REG,69662,229.61
REG,69663,178.42
REG,69667,49.95
REG,69668,119.48
REG,69705,50.48
REG,69708,282.28
REG,69712,152.17
REG,69716,222.09
REG,69806,131.87
REG,69807,312.44
REG,69808,161.21
REG,69810,274.52
REG,69811,223.16
REG,69813,228.36
REG,69832,133.49
REG,69833,18.86
REG,69834,132.3
REG,69836,26.7
REG,69839,118.84
REG,69882,181.59
REG,69883,139.51
REG,69885,124.48
REG,69918,153.51
REG,69919,156.56
REG,69922,91.68
REG,69969,179.42
REG,69970,20.02
REG,69972,110.99
REG,69974,201.87
REG,69981,96.63
REG,69982,80.37
REG,70005,130.19
REG,70006,62.02
REG,70007,137.43
REG,70010,97.45
REG,70011,71.19
REG,70014,79.04
REG,70024,104.43
REG,70026,71.66
REG,70027,102.97
REG,70028,108.52
REG,70168,53.49
REG,70170,91.71
REG,70172,170.95
REG,70286,122.4
REG,70313,127.08
REG,70663,75.37
REG,70665,44.41
REG,70667,26.49
REG,70668,51.34
REG,70670,40.15
REG,70671,57.62
REG,70672,38.91
REG,70673,69.62
REG,70682,27.62
REG,70683,18.99
REG,70740,64.68
REG,70774,36.3
REG,70775,7.6
REG,70776,46.15
REG,70778,20.34
REG,70780,29.43
REG,70782,57.1
REG,70784,32.19
REG,70906,59.67
REG,70951,73.68
REG,70957,34.1
REG,70962,77.36
