EARN,EMP#,DATE,HRS,RATE,AMOUNT
REG,1254,11/12/2012,6.20,30.48,193.04
REG,1254,11/12/2012,1.40,30.8,51.33
REG,1254,11/13/2012,6.20,30.48,193.04
REG,1254,11/13/2012,1.40,30.8,51.33
REG,1254,11/15/2012,6.20,30.48,193.04
REG,1254,11/15/2012,1.40,30.8,51.33
REG,1254,11/16/2012,6.20,30.48,193.04
REG,1254,11/16/2012,1.40,30.8,51.33
REG,1254,11/17/2012,8.00,30.48,243.84
REG,1254,11/19/2012,6.20,30.48,193.04
REG,1254,11/19/2012,1.40,30.8,51.33
REG,1254,11/20/2012,6.20,30.48,193.04
REG,1254,11/20/2012,1.40,30.8,51.33
REG,1264,11/12/2012,1.24,30.48,42.67
REG,1264,11/13/2012,5.16,30.48,160.53
REG,1264,11/13/2012,2.44,30.8,84.19
REG,1264,11/14/2012,5.16,30.48,160.53
REG,1264,11/14/2012,2.44,30.8,84.19
REG,1264,11/15/2012,5.16,30.48,160.53
REG,1264,11/15/2012,2.44,30.8,84.19
REG,1264,11/16/2012,5.16,30.48,160.53
REG,1264,11/16/2012,2.44,30.8,84.19
REG,1414,11/14/2012,8.00,30.48,243.84
REG,1414,11/15/2012,5.15,30.48,160.02
REG,1414,11/15/2012,2.45,30.8,84.7
REG,1414,11/16/2012,4.35,30.48,139.7
REG,1414,11/16/2012,3.25,30.48,104.14
REG,1414,11/17/2012,8.00,30.48,243.84
REG,1414,11/19/2012,8.00,30.48,243.84
REG,1414,11/20/2012,8.00,30.48,243.84
REG,1414,11/21/2012,4.43,30.48,143.76
REG,1414,11/21/2012,3.17,30.8,101.13
REG,1421,11/12/2012,6.34,30.48,200.15
REG,1421,11/12/2012,1.30,30.48,45.72
REG,1421,11/13/2012,6.47,30.48,206.76
REG,1421,11/14/2012,6.18,30.48,192.02
REG,1421,11/14/2012,1.42,30.8,52.36
REG,1421,11/15/2012,8.00,30.48,243.84
REG,1421,11/16/2012,5.15,30.48,160.02
REG,1421,11/16/2012,2.45,30.8,84.7
REG,1421,11/17/2012,2.30,30.48,76.2
REG,1421,11/17/2012,5.30,30.48,167.64
REG,1421,11/19/2012,8.00,30.48,243.84
REG,1421,11/20/2012,6.50,30.48,208.28
REG,1421,11/21/2012,3.53,30.48,118.36
REG,1421,11/21/2012,4.07,30.8,126.79
REG,1422,11/12/2012,8.00,30.48,243.84
REG,1422,11/13/2012,8.00,30.8,246.4
REG,1422,11/14/2012,8.00,30.8,246.4
REG,1422,11/15/2012,6.18,30.48,192.02
REG,1422,11/15/2012,1.42,30.8,52.36
REG,1422,11/19/2012,8.00,30.48,243.84
REG,1422,11/20/2012,8.00,30.48,243.84
REG,1422,11/23/2012,8.00,30.8,246.4
REG,1695,11/12/2012,4.45,30.48,144.78
REG,1695,11/12/2012,3.15,30.8,100.1
REG,1695,11/13/2012,4.45,30.48,144.78
REG,1695,11/13/2012,3.15,30.8,100.1
REG,1695,11/14/2012,4.45,30.48,144.78
REG,1695,11/14/2012,3.15,30.8,100.1
REG,1695,11/15/2012,4.45,30.48,144.78
REG,1695,11/15/2012,3.15,30.8,100.1
REG,1695,11/16/2012,4.45,30.48,144.78
REG,1695,11/16/2012,3.15,30.8,100.1
REG,1695,11/19/2012,4.45,30.48,144.78
REG,1695,11/19/2012,3.15,30.8,100.1
REG,1695,11/20/2012,4.45,30.48,144.78
REG,1695,11/20/2012,3.15,30.8,100.1
REG,1713,11/10/2012,8.00,30.48,243.84
REG,1713,11/12/2012,3.17,30.48,100.08
