ACTION_LIST,TIME_NEW,USER_NEW,VALUE,PREVIOUS_ACTION_LIST,PREVIOUS_TIME_NEW,PREVIOUS_USER_NEW,PREVIOUS_VALUE,TIMEDIFF_BETWEEN_TRANSACTIONS
684834,11/16/2010 2:00:26 PM,OrderExecuter,2000,684098,11/12/2010 4:51:53 PM,OrderExecuter,1000,3.8809375
670104,10/24/2010 11:46:06 AM,OrderExecuter,1000,669940,10/23/2010 12:26:26 PM,OrderExecuter,2000,0.971990740740741
662113,10/05/2010 1:35:03 PM,OrderExecuter,0,661350,10/04/2010 2:49:12 PM,OrderExecuter,1000,0.948506944444444
663928,10/10/2010 7:22:14 AM,OrderExecuter,0,663764,10/09/2010 9:32:14 AM,OrderExecuter,500,0.909722222222222
663659,10/08/2010 3:06:26 PM,OrderExecuter,0,663454,10/07/2010 7:27:04 PM,OrderExecuter,1000,0.81900462962963
666804,10/17/2010 5:49:26 PM,OrderExecuter,0,666726,10/16/2010 10:36:48 PM,OrderExecuter,1000,0.800439814814815
685040,11/17/2010 9:49:39 AM,OrderExecuter,2500,684917,11/16/2010 2:54:14 PM,OrderExecuter,5000,0.788483796296296
663436,10/07/2010 6:15:36 PM,OrderExecuter,0,662955,10/06/2010 11:34:24 PM,OrderExecuter,500,0.778611111111111
664162,10/11/2010 1:07:24 PM,OrderExecuter,0,664027,10/10/2010 7:52:51 PM,OrderExecuter,2500,0.7184375
660706,10/03/2010 9:52:28 AM,OrderExecuter,0,660578,10/02/2010 4:51:14 PM,OrderExecuter,1000,0.709189814814815
691088,11/25/2010 6:50:18 AM,OrderExecuter,1000,689713,11/24/2010 3:08:50 PM,OrderExecuter,1000,0.653796296296296
669200,10/21/2010 3:54:49 PM,OrderExecuter,0,668575,10/21/2010 12:31:33 AM,OrderExecuter,500,0.641157407407407
692610,11/27/2010 12:28:21 PM,OrderExecuter,0,692566,11/26/2010 9:36:48 PM,OrderExecuter,1000,0.619131944444444
670470,10/25/2010 7:58:26 AM,OrderExecuter,2500,670234,10/24/2010 5:48:25 PM,OrderExecuter,2500,0.590289351851852
679601,11/04/2010 10:39:32 AM,OrderExecuter,2000,679490,11/03/2010 8:30:56 PM,OrderExecuter,2000,0.589305555555556
660436,10/02/2010 10:55:53 AM,OrderExecuter,0,660358,10/01/2010 9:12:35 PM,OrderExecuter,500,0.571736111111111
689280,11/24/2010 8:27:06 AM,OrderExecuter,2000,689195,11/23/2010 6:44:52 PM,OrderExecuter,1000,0.57099537037037
665922,10/15/2010 6:38:48 AM,OrderExecuter,5000,665819,10/14/2010 4:59:51 PM,OrderExecuter,1000,0.568715277777778
666566,10/16/2010 10:36:09 AM,OrderExecuter,0,666500,10/15/2010 9:37:20 PM,OrderExecuter,2000,0.540844907407407
681079,11/06/2010 9:48:27 AM,OrderExecuter,0,681036,11/05/2010 8:50:35 PM,OrderExecuter,1000,0.540185185185185
681206,11/07/2010 6:31:05 AM,OrderExecuter,0,681175,11/06/2010 6:06:36 PM,OrderExecuter,500,0.517002314814815
662732,10/06/2010 12:10:17 PM,OrderExecuter,2500,662324,10/05/2010 11:53:22 PM,OrderExecuter,5000,0.511747685185185
679382,11/03/2010 2:49:40 PM,OrderExecuter,2500,678900,11/03/2010 2:47:15 AM,OrderExecuter,500,0.501678240740741
664352,10/12/2010 10:49:24 AM,OrderExecuter,1000,664259,10/11/2010 10:47:58 PM,OrderExecuter,1000,0.50099537037037
668198,10/20/2010 8:49:27 AM,OrderExecuter,0,668134,10/19/2010 8:51:56 PM,OrderExecuter,2500,0.498275462962963
667524,10/19/2010 9:21:52 AM,OrderExecuter,0,667463,10/18/2010 9:35:18 PM,OrderExecuter,2000,0.490671296296296
674226,10/27/2010 9:05:19 AM,OrderExecuter,0,673963,10/26/2010 9:33:16 PM,OrderExecuter,1000,0.480590277777778
687106,11/20/2010 11:16:26 AM,OrderExecuter,0,687070,11/19/2010 11:56:22 PM,OrderExecuter,1000,0.472268518518519
692331,11/26/2010 7:32:15 AM,OrderExecuter,0,692106,11/25/2010 8:35:15 PM,OrderExecuter,2000,0.45625
676729,10/31/2010 8:44:55 AM,OrderExecuter,0,676687,10/30/2010 9:57:48 PM,OrderExecuter,2000,0.449386574074074
675794,10/29/2010 8:09:19 AM,OrderExecuter,0,675719,10/28/2010 9:29:13 PM,OrderExecuter,2000,0.444513888888889
685845,11/18/2010 10:47:02 AM,OrderExecuter,0,685671,11/18/2010 12:18:44 AM,OrderExecuter,500,0.436319444444444
669392,10/22/2010 6:30:18 AM,OrderExecuter,0,669281,10/21/2010 8:26:23 PM,OrderExecuter,1000,0.419386574074074
681473,11/08/2010 8:34:47 AM,OrderExecuter,1000,681364,11/07/2010 10:34:23 PM,OrderExecuter,1000,0.416944444444444
666464,10/15/2010 7:19:09 PM,OrderExecuter,0,666022,10/15/2010 9:21:18 AM,OrderExecuter,500,0.415173611111111
666965,10/18/2010 9:58:33 AM,OrderExecuter,0,666890,10/18/2010 12:14:38 AM,OrderExecuter,0,0.405497685185185
683241,11/11/2010 6:09:52 AM,OrderExecuter,500,683205,11/10/2010 8:43:28 PM,OrderExecuter,2000,0.393333333333333
676451,10/30/2010 7:27:24 AM,OrderExecuter,0,676412,10/29/2010 10:06:13 PM,OrderExecuter,0,0.389710648148148
665734,10/14/2010 3:35:42 PM,OrderExecuter,0,665358,10/14/2010 6:23:54 AM,OrderExecuter,500,0.383194444444444
686504,11/19/2010 6:53:57 AM,OrderExecuter,2000,686476,11/18/2010 10:11:52 PM,OrderExecuter,2000,0.36255787037037
680157,11/05/2010 8:00:10 AM,OrderExecuter,0,680126,11/04/2010 11:20:05 PM,OrderExecuter,1000,0.361168981481481
678188,11/02/2010 7:24:25 AM,OrderExecuter,2000,678144,11/01/2010 10:59:48 PM,OrderExecuter,2000,0.350428240740741
663758,10/09/2010 9:09:11 AM,OrderExecuter,0,663748,10/09/2010 12:50:21 AM,OrderExecuter,500,0.346412037037037
687241,11/21/2010 7:51:19 AM,OrderExecuter,1000,687234,11/20/2010 11:54:09 PM,OrderExecuter,1000,0.331365740740741
665357,10/14/2010 6:23:53 AM,OrderExecuter,0,665337,10/13/2010 10:51:22 PM,OrderExecuter,1000,0.314247685185185
669889,10/23/2010 8:33:27 AM,OrderExecuter,0,669875,10/23/2010 1:11:26 AM,OrderExecuter,500,0.306956018518519
692104,11/25/2010 7:26:45 PM,OrderExecuter,2000,692086,11/25/2010 12:09:47 PM,OrderExecuter,2000,0.303449074074074
664943,10/13/2010 9:52:58 AM,OrderExecuter,0,664916,10/13/2010 2:39:22 AM,OrderExecuter,1000,0.301111111111111
675685,10/28/2010 7:19:30 PM,OrderExecuter,2000,675464,10/28/2010 12:15:50 PM,OrderExecuter,500,0.294212962962963
677132,10/31/2010 8:06:05 PM,OrderExecuter,0,676831,10/31/2010 1:02:53 PM,OrderExecuter,500,0.293888888888889
682744,11/10/2010 6:20:15 AM,OrderExecuter,2000,682731,11/09/2010 11:21:11 PM,OrderExecuter,500,0.291018518518519
674979,10/27/2010 9:05:49 PM,OrderExecuter,1000,674645,10/27/2010 2:09:25 PM,OrderExecuter,2500,0.289166666666667
692728,11/28/2010 8:57:05 AM,OrderExecuter,2500,692721,11/28/2010 2:07:29 AM,OrderExecuter,2000,0.284444444444444
